entry_time,exit_time,side,contracts,entry_price,exit_price,pnl,exit_reason,duration_min,confidence,partial_exits,r_multiple
2025-11-05 01:09:00,2025-11-05 01:10:00,long,3,6764.75,6767.0,275.5,profit_drawdown,1.0,0.8000203586602923,0,0.23529411764705882
2025-11-05 05:16:00,2025-11-05 05:25:00,short,3,6795.5,6793.25,275.5,profit_drawdown,9.0,0.7802493423542759,0,0.3076923076923077
2025-11-05 16:51:00,2025-11-05 17:04:00,short,3,6844.5,6841.5,388.0,profit_drawdown,13.0,0.7970796370698513,0,0.34375
2025-11-05 17:28:00,2025-11-05 17:35:00,short,3,6848.5,6854.25,-924.5,sideways_market_exit,7.0,0.7945167816667409,0,-0.96
2025-11-06 00:27:00,2025-11-06 00:29:00,long,3,6813.0,6815.5,313.0,profit_drawdown,2.0,0.8038505881867966,0,0.23684210526315788
2025-11-06 11:22:00,2025-11-06 11:23:00,short,3,6830.75,6828.25,313.0,profit_drawdown,1.0,0.9472356878229222,0,0.5294117647058824
2025-11-06 11:44:00,2025-11-06 11:58:00,short,3,6831.25,6829.75,163.0,profit_drawdown,14.0,0.8300408623518796,0,0.2631578947368421
2025-11-06 15:05:00,2025-11-06 15:06:00,long,3,6778.0,6783.25,725.5,profit_drawdown,1.0,0.866843034646477,0,0.2777777777777778
2025-11-06 15:42:00,2025-11-06 15:57:00,long,3,6763.25,6758.25,-812.0,underwater_timeout,15.0,0.9102875741412477,0,-0.2692307692307692
2025-11-06 17:22:00,2025-11-06 17:31:00,long,3,6739.0,6743.75,650.5,profit_drawdown,9.0,0.7757486149224193,0,0.26865671641791045
2025-11-07 10:20:00,2025-11-07 10:30:00,long,3,6742.5,6744.75,275.5,profit_drawdown,10.0,0.8894467072049104,0,0.24242424242424243
2025-11-07 11:17:00,2025-11-07 11:18:00,long,3,6723.25,6726.0,350.5,profit_drawdown,1.0,0.904134639219782,0,0.25
2025-11-10 00:54:00,2025-11-10 01:07:00,short,3,6796.5,6793.75,350.5,profit_drawdown,13.0,0.7184937238250872,0,0.47619047619047616
2025-11-10 02:36:00,2025-11-10 02:37:00,short,3,6803.0,6801.25,200.5,profit_drawdown,1.0,0.750557342493922,0,0.5
2025-11-10 05:08:00,2025-11-10 05:09:00,long,3,6776.75,6781.0,575.5,profit_drawdown,1.0,0.8102246923487719,0,0.36363636363636365
2025-11-10 16:47:00,2025-11-10 16:50:00,short,3,6817.5,6816.5,88.0,profit_drawdown,3.0,0.8800752023276797,0,0.21428571428571427
2025-11-11 17:43:00,2025-11-11 17:44:00,long,3,6839.0,6840.5,163.0,profit_drawdown,1.0,0.8883310235262631,0,0.29411764705882354
2025-11-11 18:30:00,2025-11-11 18:33:00,long,3,6840.5,6842.0,163.0,volatility_spike,3.0,0.9141023860932933,0,0.20833333333333334
2025-11-11 20:20:00,2025-11-11 20:25:00,long,3,6835.75,6841.75,838.0,profit_drawdown,5.0,0.9397393889355588,0,0.40350877192982454
2025-11-12 02:22:00,2025-11-12 02:23:00,short,3,6878.5,6877.0,163.0,profit_drawdown,1.0,0.8579417557429354,0,0.29411764705882354
2025-11-12 07:13:00,2025-11-12 07:28:00,short,3,6888.0,6888.25,-99.5,underwater_timeout,15.0,0.922423669861103,0,-0.16666666666666666
2025-11-12 12:37:00,2025-11-12 12:45:00,short,3,6895.25,6894.0,125.5,profit_drawdown,8.0,0.7838244175573588,0,0.3333333333333333
2025-11-12 16:49:00,2025-11-12 16:50:00,long,3,6855.75,6858.75,388.0,profit_drawdown,1.0,0.8547895814626121,0,0.23404255319148937
2025-11-13 01:12:00,2025-11-13 01:28:00,short,3,6884.25,6879.25,688.0,profit_drawdown,16.0,0.830469529529138,0,0.3877551020408163
2025-11-13 14:46:00,2025-11-13 14:51:00,long,3,6823.0,6831.5,1213.0,profit_drawdown,5.0,0.9228545450136827,0,0.4230769230769231
2025-11-13 18:40:00,2025-11-13 18:44:00,long,3,6760.25,6766.75,913.0,profit_drawdown,4.0,0.8698689451477759,0,0.46296296296296297
2025-11-14 01:30:00,2025-11-14 01:31:00,long,3,6769.0,6769.5,13.0,volatility_spike,1.0,0.8308887265479494,0,0.045454545454545456
2025-11-14 07:19:00,2025-11-14 07:23:00,long,3,6735.0,6738.5,463.0,profit_drawdown,4.0,0.8726824496267587,0,0.2549019607843137
2025-11-14 11:11:00,2025-11-14 11:12:00,long,3,6727.25,6720.5,-1074.5,sideways_market_exit,1.0,0.8350557298295744,0,-0.875
2025-11-14 11:13:00,2025-11-14 11:28:00,long,3,6721.25,6715.25,-962.0,underwater_timeout,15.0,0.7491890480531117,0,-0.6756756756756757
